Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,4.19,4.25,4.17,4.24,64166900,4.24
2016-10-25,4.16,4.19,4.15,4.19,36823000,4.19
2016-10-24,4.16,4.19,4.15,4.18,57210300,4.18
2016-10-21,4.13,4.15,4.11,4.15,26220000,4.15
2016-10-20,4.14,4.16,4.12,4.13,45989500,4.13
2016-10-19,4.10,4.15,4.10,4.14,34348400,4.14
2016-10-18,4.12,4.14,4.10,4.10,33186100,4.10
2016-10-17,4.11,4.13,4.08,4.11,52435600,4.11
2016-10-14,4.11,4.14,4.10,4.11,45328800,4.11
2016-10-13,4.09,4.11,4.05,4.10,42998300,4.10
2016-10-12,4.09,4.11,4.07,4.10,41993700,4.10
2016-10-11,4.14,4.14,4.07,4.08,44557700,4.08
2016-10-10,4.16,4.18,4.13,4.14,32832400,4.14
2016-10-07,4.17,4.17,4.12,4.16,40648800,4.16
2016-10-06,4.16,4.17,4.14,4.16,31682500,4.16
2016-10-05,4.18,4.19,4.16,4.16,30973100,4.16
2016-10-04,4.20,4.22,4.15,4.18,44338300,4.18
2016-10-03,4.17,4.21,4.17,4.19,47280800,4.19
2016-09-30,4.17,4.19,4.15,4.17,37823700,4.17
2016-09-29,4.16,4.20,4.14,4.14,46108000,4.14
2016-09-28,4.16,4.18,4.15,4.17,45446700,4.17
2016-09-27,4.16,4.19,4.15,4.16,22006600,4.16
