Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,29.60,30.40,29.049999,29.25,281800,29.25
2016-10-25,29.799999,30.35,29.50,29.950001,293900,29.950001
2016-10-24,30.15,30.50,29.50,29.950001,346000,29.950001
2016-10-21,29.950001,30.40,29.809999,30.10,295100,30.10
2016-10-20,29.200001,30.40,29.200001,30.200001,402000,30.200001
2016-10-19,28.60,29.60,28.60,29.50,255100,29.50
2016-10-18,28.60,29.00,28.35,28.65,174500,28.65
2016-10-17,28.10,28.90,28.049999,28.15,163300,28.15
2016-10-14,28.950001,29.129999,28.049999,28.25,234900,28.25
2016-10-13,28.40,29.049999,27.950001,28.90,290600,28.90
2016-10-12,28.50,28.85,28.15,28.50,181600,28.50
2016-10-11,29.049999,29.200001,28.25,28.35,389300,28.35
2016-10-10,28.549999,29.43,28.450001,29.00,306800,29.00
2016-10-07,28.530001,28.75,28.219999,28.50,424400,28.50
2016-10-06,27.90,28.52,27.450001,28.52,334400,28.52
2016-10-05,27.889999,28.24,27.83,28.059999,302500,28.059999
2016-10-04,27.84,28.43,27.74,27.889999,333000,27.889999
2016-10-03,26.16,27.719999,26.16,27.700001,368300,27.700001
2016-09-30,26.809999,26.82,26.26,26.41,474500,26.41
2016-09-29,27.110001,27.139999,26.52,26.67,256900,26.67
2016-09-28,26.51,27.280001,26.51,27.110001,637700,27.110001
2016-09-27,26.030001,26.549999,26.030001,26.440001,284300,26.39
