Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,22.049999,22.35,22.01,22.15,77900,22.15
2016-10-25,22.90,23.00,22.23,22.299999,114500,22.299999
2016-10-24,23.200001,23.40,22.799999,23.049999,172600,23.049999
2016-10-21,23.549999,23.700001,23.299999,23.40,128700,23.40
2016-10-20,23.40,23.700001,23.40,23.65,192100,23.65
2016-10-19,23.40,23.549999,23.25,23.549999,154700,23.549999
2016-10-18,23.15,23.35,23.15,23.200001,116000,23.200001
2016-10-17,22.700001,23.10,22.700001,23.049999,47000,23.049999
2016-10-14,22.90,22.99,22.629999,22.690001,71900,22.690001
2016-10-13,22.75,22.879999,22.42,22.84,93200,22.84
2016-10-12,22.559999,22.959999,22.379999,22.77,162500,22.77
2016-10-11,22.90,22.959999,22.34,22.58,109700,22.58
2016-10-10,22.719999,23.10,22.60,22.91,80700,22.91
2016-10-07,22.780001,23.02,22.59,22.639999,62700,22.639999
2016-10-06,23.42,23.450001,22.690001,22.860001,81000,22.860001
2016-10-05,23.139999,23.620001,23.139999,23.35,134200,23.35
2016-10-04,22.969999,23.190001,22.620001,22.93,71700,22.93
2016-10-03,23.07,23.360001,22.77,23.030001,79300,23.030001
2016-09-30,23.870001,23.870001,22.92,22.940001,183000,22.940001
2016-09-29,23.200001,23.370001,22.91,23.309999,188400,23.309999
2016-09-28,22.639999,23.200001,22.07,23.200001,201500,23.200001
2016-09-27,22.780001,22.889999,22.40,22.49,127200,22.49
