Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,35.279999,36.16,34.02,34.560001,3591200,34.560001
2016-10-25,37.110001,37.849998,35.84,35.98,2899400,35.98
2016-10-24,39.380001,39.380001,36.669998,37.41,3296900,37.41
2016-10-21,39.98,41.049999,39.360001,39.369999,3046000,39.369999
2016-10-20,40.16,40.799999,39.380001,40.549999,3053800,40.549999
2016-10-19,39.799999,42.380001,39.599998,40.73,4933100,40.73
2016-10-18,42.209999,43.09,38.080002,39.060001,6200300,39.010002
2016-10-17,39.040001,39.540001,38.189999,38.720001,1847300,38.670437
2016-10-14,40.419998,40.50,38.580002,38.900002,2306200,38.850207
2016-10-13,39.610001,40.73,39.34,40.139999,2468500,40.088617
2016-10-12,40.27,40.650002,39.560001,40.139999,1808700,40.088617
2016-10-11,40.970001,41.639999,39.84,40.700001,1901400,40.647902
2016-10-10,40.330002,42.330002,40.330002,41.27,2466700,41.217172
2016-10-07,40.240002,40.619999,39.150002,39.32,1593200,39.269667
2016-10-06,40.630001,41.080002,39.599998,40.119999,2397400,40.068643
2016-10-05,39.560001,40.889999,39.27,40.060001,5720900,40.008722
2016-10-04,39.790001,39.900002,37.959999,38.41,2525800,38.360832
2016-10-03,38.939999,39.799999,38.470001,38.91,2953300,38.860192
2016-09-30,39.709999,40.259998,38.52,38.580002,3758600,38.530617
2016-09-29,36.419998,40.389999,36.419998,39.490002,4887200,39.439452
2016-09-28,33.139999,36.619999,32.57,36.509998,3492100,36.463263
2016-09-27,33.360001,33.470001,32.25,32.650002,3077300,32.608207
