Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.06,7.21,6.17,6.36,1647100,6.36
2016-10-25,7.51,7.55,7.37,7.52,377200,7.52
2016-10-24,7.36,7.55,7.36,7.52,259300,7.52
2016-10-21,7.43,7.43,7.21,7.34,245100,7.34
2016-10-20,7.59,7.68,7.49,7.51,131200,7.51
2016-10-19,7.43,7.61,7.35,7.59,175400,7.59
2016-10-18,7.41,7.46,7.29,7.43,183500,7.43
2016-10-17,7.40,7.44,7.28,7.30,151700,7.30
2016-10-14,7.43,7.70,7.42,7.42,200900,7.42
2016-10-13,7.39,7.82,7.28,7.36,172900,7.36
2016-10-12,7.44,7.52,7.38,7.47,174800,7.47
2016-10-11,7.71,7.71,7.40,7.45,223000,7.45
2016-10-10,7.72,7.84,7.68,7.72,170500,7.72
2016-10-07,7.74,7.77,7.61,7.69,166700,7.69
2016-10-06,7.62,7.77,7.62,7.75,159400,7.75
2016-10-05,7.65,7.79,7.62,7.68,250300,7.68
2016-10-04,7.71,7.80,7.57,7.62,220100,7.62
2016-10-03,7.73,7.81,7.64,7.70,343400,7.70
2016-09-30,7.75,7.85,7.68,7.78,664500,7.78
2016-09-29,7.81,8.00,7.52,7.73,1661800,7.73
2016-09-28,8.81,8.85,8.53,8.61,280700,8.61
2016-09-27,8.41,8.85,8.35,8.75,408500,8.75
