Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,48.48,50.459999,48.369999,50.419998,2214100,50.419998
2016-10-25,48.52,48.950001,48.450001,48.459999,987800,48.459999
2016-10-24,48.720001,48.900002,48.360001,48.50,467000,48.50
2016-10-21,47.939999,48.310001,47.73,48.169998,750600,48.169998
2016-10-20,48.57,49.099998,47.91,48.240002,1020600,48.240002
2016-10-19,48.130001,48.709999,47.720001,48.57,1396900,48.57
2016-10-18,46.509998,47.970001,46.509998,47.919998,1560600,47.919998
2016-10-17,45.650002,46.25,45.650002,46.139999,826700,46.139999
2016-10-14,46.16,46.32,45.75,45.75,1088700,45.75
2016-10-13,45.490002,46.02,45.040001,45.869999,732000,45.869999
2016-10-12,46.16,46.349998,45.82,45.849998,777100,45.849998
2016-10-11,46.509998,46.73,45.700001,46.209999,1122400,46.209999
2016-10-10,46.450001,46.889999,46.369999,46.540001,534600,46.540001
2016-10-07,46.57,46.759998,45.77,46.369999,1063000,46.369999
2016-10-06,47.189999,47.50,46.709999,47.110001,1136800,47.110001
2016-10-05,45.610001,47.25,45.610001,47.209999,1552900,47.209999
2016-10-04,45.740002,46.060001,45.380001,45.790001,856400,45.790001
2016-10-03,44.540001,45.900002,44.349998,45.720001,1780900,45.720001
2016-09-30,44.209999,44.75,43.939999,44.540001,1447300,44.540001
2016-09-29,44.290001,44.580002,43.560001,44.080002,1215200,44.080002
2016-09-28,44.169998,44.639999,43.959999,44.50,622900,44.50
2016-09-27,43.950001,44.41,43.810001,44.139999,592500,44.139999
