Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.78,12.83,12.57,12.67,4474200,12.67
2016-10-25,12.53,12.65,12.47,12.61,2762300,12.61
2016-10-24,12.48,12.56,12.41,12.51,3866400,12.51
2016-10-21,12.83,12.86,12.63,12.65,3103100,12.65
2016-10-20,12.67,12.81,12.56,12.67,4284800,12.67
2016-10-19,12.66,12.73,12.54,12.61,3507500,12.61
2016-10-18,12.60,12.79,12.60,12.72,3859600,12.72
2016-10-17,12.81,12.99,12.77,12.95,3695800,12.95
2016-10-14,12.61,12.83,12.53,12.81,4625200,12.81
2016-10-13,12.98,13.15,12.73,12.82,8368900,12.82
2016-10-12,12.73,12.83,12.59,12.71,4087000,12.71
2016-10-11,12.38,12.90,12.37,12.74,7403700,12.74
2016-10-10,12.30,12.32,12.20,12.29,3263000,12.29
2016-10-07,12.31,12.63,12.27,12.49,5351800,12.49
2016-10-06,12.43,12.53,12.31,12.34,3474900,12.34
2016-10-05,12.43,12.43,12.29,12.39,3742600,12.39
2016-10-04,12.33,12.67,12.29,12.55,5657300,12.55
2016-10-03,12.36,12.49,12.31,12.37,3753800,12.37
2016-09-30,12.40,12.44,12.13,12.28,7080800,12.28
2016-09-29,12.27,12.67,12.19,12.55,6792300,12.55
2016-09-28,12.37,12.56,12.20,12.21,3902100,12.21
2016-09-27,12.68,12.75,12.39,12.41,4023600,12.41
