Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,24.129999,24.23,23.74,23.940001,4536700,23.940001
2016-10-25,23.65,23.879999,23.559999,23.809999,4144200,23.809999
2016-10-24,23.559999,23.719999,23.440001,23.610001,2740700,23.610001
2016-10-21,24.23,24.290001,23.85,23.889999,3238100,23.889999
2016-10-20,23.93,24.18,23.700001,23.93,4182300,23.93
2016-10-19,23.879999,24.02,23.67,23.809999,3346400,23.809999
2016-10-18,23.799999,24.139999,23.780001,24.00,5836900,24.00
2016-10-17,24.200001,24.50,24.09,24.42,4001400,24.42
2016-10-14,23.83,24.209999,23.639999,24.190001,5770000,24.190001
2016-10-13,24.51,24.83,24.02,24.209999,6875800,24.209999
2016-10-12,24.040001,24.219999,23.780001,23.969999,4963500,23.969999
2016-10-11,23.35,24.35,23.34,24.07,7599400,24.07
2016-10-10,23.209999,23.25,23.030001,23.200001,3096400,23.200001
2016-10-07,23.209999,23.85,23.15,23.549999,5671100,23.549999
2016-10-06,23.459999,23.67,23.24,23.299999,3281100,23.299999
2016-10-05,23.459999,23.459999,23.209999,23.379999,3422600,23.379999
2016-10-04,23.280001,23.91,23.200001,23.68,6303700,23.68
2016-10-03,23.32,23.559999,23.24,23.34,4124900,23.34
2016-09-30,23.389999,23.469999,22.90,23.139999,6771200,23.139999
2016-09-29,23.15,23.90,23.00,23.690001,7358200,23.690001
2016-09-28,23.34,23.709999,23.02,23.059999,4493800,23.059999
2016-09-27,23.92,24.07,23.389999,23.43,4241500,23.43
