Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.05,11.21,11.00,11.21,2453000,11.21
2016-10-25,11.31,11.32,11.01,11.07,2853200,11.07
2016-10-24,11.36,11.50,11.22,11.35,2172800,11.35
2016-10-21,11.14,11.34,11.04,11.32,2957300,11.32
2016-10-20,11.30,11.38,11.10,11.19,2024200,11.19
2016-10-19,11.28,11.34,11.16,11.30,2548300,11.30
2016-10-18,11.01,11.38,11.01,11.34,6320900,11.34
2016-10-17,11.02,11.14,10.88,10.93,2452700,10.93
2016-10-14,11.24,11.35,11.07,11.12,1897700,11.12
2016-10-13,11.16,11.33,11.06,11.19,2599800,11.19
2016-10-12,11.15,11.28,11.065,11.27,2510400,11.27
2016-10-11,11.42,11.50,11.14,11.18,2345100,11.18
2016-10-10,11.54,11.73,11.44,11.47,1580900,11.47
2016-10-07,11.40,11.49,11.28,11.48,1660100,11.48
2016-10-06,11.55,11.64,11.29,11.52,2370600,11.52
2016-10-05,11.65,11.755,11.55,11.69,1674600,11.69
2016-10-04,11.63,11.85,11.58,11.63,2132100,11.63
2016-10-03,11.61,11.82,11.52,11.67,2480400,11.67
2016-09-30,11.69,11.74,11.59,11.66,3562400,11.66
2016-09-29,11.80,11.81,11.59,11.64,2707200,11.64
2016-09-28,11.93,12.02,11.56,11.83,3749200,11.83
2016-09-27,11.52,11.82,11.51,11.78,2314300,11.78
