Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,10.63,11.21,10.63,10.87,1408100,10.87
2016-10-25,10.95,11.39,10.87,11.21,1611100,11.21
2016-10-24,11.26,11.38,10.64,10.86,1587200,10.86
2016-10-21,11.29,11.32,11.11,11.19,731700,11.19
2016-10-20,11.32,11.38,11.01,11.31,997400,11.31
2016-10-19,11.23,11.46,11.03,11.33,2658200,11.33
2016-10-18,11.20,11.20,10.62,11.05,1341500,11.05
2016-10-17,10.57,10.74,10.44,10.53,1025300,10.53
2016-10-14,10.54,10.83,10.44,10.48,2064200,10.48
2016-10-13,10.60,11.02,10.58,10.70,1981800,10.70
2016-10-12,10.37,10.78,10.35,10.61,1608500,10.61
2016-10-11,10.54,10.66,10.34,10.34,1078700,10.34
2016-10-10,10.60,10.76,10.54,10.67,998000,10.67
2016-10-07,10.87,10.97,10.26,10.50,1791500,10.50
2016-10-06,10.30,10.62,10.13,10.35,2060400,10.35
2016-10-05,10.84,10.92,10.42,10.74,1869800,10.74
2016-10-04,11.37,11.37,10.50,10.70,3574100,10.70
2016-10-03,12.04,12.14,11.61,11.81,1417400,11.81
2016-09-30,12.50,12.54,12.02,12.06,1409200,12.06
2016-09-29,12.29,12.35,11.95,12.18,1604300,12.18
2016-09-28,11.98,12.56,11.74,12.39,1974200,12.39
2016-09-27,12.44,12.44,11.72,12.01,2538100,12.01
