Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,12.80,12.85,12.61,12.68,414800,12.68
2016-10-25,12.71,12.97,12.70,12.79,299300,12.79
2016-10-24,12.72,12.79,12.67,12.74,381900,12.74
2016-10-21,12.86,12.86,12.57,12.71,356600,12.71
2016-10-20,12.80,12.91,12.71,12.88,272100,12.88
2016-10-19,12.75,12.92,12.67,12.80,279700,12.80
2016-10-18,12.97,12.97,12.56,12.75,572400,12.75
2016-10-17,13.32,13.38,13.01,13.10,597000,12.725
2016-10-14,13.35,13.50,13.21,13.32,441000,12.938702
2016-10-13,13.29,13.32,13.08,13.26,700700,12.88042
2016-10-12,13.32,13.36,13.21,13.27,247200,12.890134
2016-10-11,13.61,13.61,13.25,13.29,479800,12.909561
2016-10-10,13.31,13.55,13.28,13.41,267100,13.026126
2016-10-07,13.41,13.43,13.15,13.17,408700,12.792996
2016-10-06,13.24,13.40,13.19,13.37,238400,12.987271
2016-10-05,13.28,13.40,13.21,13.25,267800,12.870706
2016-10-04,13.66,13.67,13.22,13.24,414400,12.860992
2016-10-03,13.33,13.66,13.21,13.64,360000,13.249542
2016-09-30,13.29,13.49,13.16,13.33,685000,12.948416
2016-09-29,13.51,13.56,13.17,13.19,561200,12.812423
2016-09-28,13.50,13.55,13.27,13.52,432100,13.132977
2016-09-27,13.54,13.59,13.33,13.43,361300,13.045554
