Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,11.29,11.40,11.21,11.28,356300,11.28
2016-10-25,11.42,11.44,11.27,11.35,386000,11.35
2016-10-24,11.48,11.55,11.40,11.42,678400,11.42
2016-10-21,11.33,11.53,11.26,11.39,596000,11.39
2016-10-20,11.25,11.51,11.20,11.46,993700,11.46
2016-10-19,11.02,11.33,11.02,11.28,691600,11.28
2016-10-18,10.90,11.05,10.82,11.01,540900,11.01
2016-10-17,10.80,10.88,10.72,10.82,335300,10.82
2016-10-14,10.78,10.87,10.73,10.77,334600,10.77
2016-10-13,10.68,10.83,10.61,10.71,312700,10.71
2016-10-12,10.65,10.82,10.64,10.73,260000,10.73
2016-10-11,10.64,10.68,10.54,10.63,182300,10.63
2016-10-10,10.62,10.75,10.62,10.65,160200,10.65
2016-10-07,10.62,10.67,10.45,10.55,291300,10.55
2016-10-06,10.60,10.65,10.47,10.58,252200,10.58
2016-10-05,10.71,10.73,10.54,10.62,175900,10.62
2016-10-04,10.70,10.80,10.60,10.64,385800,10.64
2016-10-03,10.70,10.73,10.54,10.66,278600,10.66
2016-09-30,10.69,10.85,10.63,10.73,594400,10.73
2016-09-29,10.73,10.80,10.60,10.63,166100,10.63
2016-09-28,10.67,10.80,10.62,10.79,248200,10.79
2016-09-27,10.62,10.73,10.56,10.66,159600,10.66
