Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,31.190001,31.41,31.190001,31.26,507500,31.26
2016-10-25,31.450001,31.450001,31.00,31.26,641200,31.26
2016-10-24,31.280001,31.41,31.209999,31.370001,344600,31.370001
2016-10-21,30.860001,31.33,30.799999,31.18,502500,31.18
2016-10-20,30.709999,30.99,30.66,30.950001,492100,30.950001
2016-10-19,30.60,30.83,30.549999,30.77,390600,30.77
2016-10-18,30.629999,30.700001,30.469999,30.52,395400,30.52
2016-10-17,30.65,30.73,30.41,30.49,895200,30.49
2016-10-14,30.49,30.719999,30.299999,30.700001,1170000,30.700001
2016-10-13,30.76,30.82,30.450001,30.57,1377100,30.57
2016-10-12,31.25,31.25,30.83,30.92,1311300,30.92
2016-10-11,32.290001,32.290001,31.17,31.209999,2605800,31.209999
2016-10-10,32.18,32.330002,32.119999,32.290001,1085800,32.290001
2016-10-07,32.139999,32.169998,31.91,32.16,2658100,32.16
2016-10-06,32.27,32.290001,32.02,32.130001,1454500,32.130001
2016-10-05,31.93,32.259998,31.85,32.240002,1124900,32.240002
2016-10-04,31.48,31.85,31.48,31.85,1384300,31.85
2016-10-03,31.040001,31.48,31.040001,31.469999,866100,31.469999
2016-09-30,31.469999,31.540001,31.120001,31.190001,1402300,31.190001
2016-09-29,31.60,31.66,31.32,31.32,1203100,31.32
2016-09-28,31.51,31.59,31.209999,31.52,771400,31.52
2016-09-27,31.049999,31.389999,30.98,31.379999,1844200,31.379999
