Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.80,13.93,13.50,13.55,212500,13.55
2016-10-25,13.85,14.00,13.65,13.80,156300,13.80
2016-10-24,13.60,14.00,13.60,13.90,185200,13.90
2016-10-21,13.30,13.75,13.25,13.65,185700,13.65
2016-10-20,13.65,13.70,13.45,13.45,121400,13.45
2016-10-19,13.50,13.75,13.42,13.60,88400,13.60
2016-10-18,13.40,13.52,13.25,13.45,137500,13.45
2016-10-17,13.55,13.65,13.30,13.35,144800,13.35
2016-10-14,13.65,13.78,13.52,13.56,123100,13.56
2016-10-13,13.43,13.66,13.22,13.55,130700,13.55
2016-10-12,13.50,13.74,13.34,13.57,222200,13.57
2016-10-11,13.86,14.00,13.55,13.60,159600,13.60
2016-10-10,13.98,14.25,13.98,14.01,110000,14.01
2016-10-07,13.94,14.08,13.78,13.95,181700,13.95
2016-10-06,14.08,14.14,13.77,13.99,223800,13.99
2016-10-05,14.17,14.27,13.99,14.18,156500,14.18
2016-10-04,13.86,14.15,13.82,14.06,149100,14.06
2016-10-03,14.28,14.41,13.92,13.93,193500,13.93
2016-09-30,14.37,14.50,14.17,14.41,177200,14.41
2016-09-29,14.07,14.41,14.05,14.24,161000,14.24
2016-09-28,13.92,14.09,13.87,14.05,127700,14.05
2016-09-27,13.81,13.98,13.80,13.93,103300,13.93
