Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,87.040001,87.589996,86.68,87.400002,607100,87.400002
2016-10-25,86.910004,87.400002,86.510002,87.220001,476900,87.220001
2016-10-24,87.279999,87.360001,86.650002,87.010002,359400,87.010002
2016-10-21,86.800003,86.800003,85.400002,86.290001,645700,86.290001
2016-10-20,88.089996,88.410004,86.50,86.699997,550300,86.699997
2016-10-19,88.779999,89.080002,88.089996,88.400002,355500,88.400002
2016-10-18,87.300003,88.93,87.300003,88.599998,390400,88.599998
2016-10-17,87.260002,87.639999,86.739998,87.120003,317100,87.120003
2016-10-14,87.709999,87.93,87.040001,87.07,538100,87.07
2016-10-13,87.82,88.18,87.410004,87.529999,664900,87.529999
2016-10-12,87.970001,88.68,87.699997,88.269997,688100,88.269997
2016-10-11,87.529999,88.650002,87.190002,87.940002,761900,87.940002
2016-10-10,86.949997,87.809998,86.809998,87.410004,298600,87.410004
2016-10-07,87.50,87.559998,86.440002,86.900002,395400,86.900002
2016-10-06,88.339996,88.440002,87.230003,87.379997,611200,87.379997
2016-10-05,87.209999,88.529999,87.110001,88.279999,1803800,88.279999
2016-10-04,87.57,88.379997,87.18,87.690002,936600,87.690002
2016-10-03,87.099998,87.650002,86.459999,87.510002,801600,87.510002
2016-09-30,86.730003,87.50,86.599998,87.190002,740800,87.190002
2016-09-29,86.379997,87.50,86.370003,86.50,585800,86.50
2016-09-28,85.480003,86.650002,85.059998,86.629997,800200,86.629997
2016-09-27,86.339996,86.339996,85.389999,85.519997,604400,85.519997
