Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,7.42,7.82,7.42,7.69,1018500,7.69
2016-10-25,7.78,7.90,7.60,7.63,1047700,7.575
2016-10-24,7.97,8.07,7.69,7.79,1030100,7.733846
2016-10-21,7.98,8.13,7.93,8.04,732400,7.982044
2016-10-20,8.08,8.26,8.04,8.16,952500,8.101179
2016-10-19,8.35,8.35,7.99,8.23,1234000,8.170674
2016-10-18,8.00,8.00,7.81,7.92,830900,7.862909
2016-10-17,8.15,8.19,7.75,7.79,1127100,7.733846
2016-10-14,8.31,8.46,8.10,8.18,1228400,8.121036
2016-10-13,8.28,8.35,8.15,8.23,1322000,8.170674
2016-10-12,8.47,8.50,8.28,8.41,872000,8.349377
2016-10-11,8.65,8.72,8.41,8.53,984000,8.468512
2016-10-10,8.61,8.84,8.60,8.71,843900,8.647215
2016-10-07,8.69,8.71,8.40,8.46,1251400,8.399017
2016-10-06,8.50,8.71,8.46,8.63,1605600,8.567792
2016-10-05,8.18,8.50,8.07,8.46,1733800,8.399017
2016-10-04,8.03,8.19,7.91,8.04,1580500,7.982044
2016-10-03,7.76,7.97,7.57,7.97,1068400,7.912549
2016-09-30,7.70,7.80,7.39,7.71,1821800,7.654423
2016-09-29,7.75,7.87,7.38,7.56,1735300,7.505504
2016-09-28,7.26,7.75,7.16,7.72,2743500,7.664351
2016-09-27,7.20,7.21,6.95,7.14,1833600,7.088532
