Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,28.00,28.23,27.98,28.07,1697700,28.07
2016-10-25,28.559999,28.559999,27.99,28.219999,3163400,28.219999
2016-10-24,28.799999,29.02,28.690001,28.76,1723300,28.76
2016-10-21,28.459999,28.620001,28.370001,28.530001,1067100,28.530001
2016-10-20,28.77,29.01,28.51,28.709999,1470000,28.709999
2016-10-19,28.610001,29.209999,28.440001,28.940001,1934000,28.940001
2016-10-18,28.700001,28.780001,28.360001,28.610001,1843000,28.610001
2016-10-17,28.620001,28.76,28.26,28.41,2301900,28.41
2016-10-14,28.77,29.01,28.50,28.549999,1690600,28.549999
2016-10-13,28.75,28.90,28.360001,28.620001,1993000,28.620001
2016-10-12,29.129999,29.34,29.00,29.02,1234000,29.02
2016-10-11,29.219999,29.25,28.93,29.15,1751000,29.15
2016-10-10,29.40,29.790001,29.32,29.34,1181500,29.34
2016-10-07,29.50,29.75,29.209999,29.25,3377400,29.25
2016-10-06,29.280001,29.65,29.040001,29.530001,1446700,29.530001
2016-10-05,29.51,29.59,29.15,29.389999,1904400,29.389999
2016-10-04,29.60,29.83,29.24,29.379999,1735000,29.379999
2016-10-03,29.690001,29.73,29.34,29.530001,1656800,29.530001
2016-09-30,29.620001,30.00,29.370001,29.860001,1905700,29.860001
2016-09-29,29.620001,30.01,29.450001,29.559999,2748400,29.559999
2016-09-28,29.299999,29.530001,29.17,29.41,1718000,29.41
2016-09-27,29.280001,29.59,29.18,29.299999,1567900,29.299999
