Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,62.540001,63.52,61.509998,61.75,1501400,61.75
2016-10-25,63.720001,64.269997,63.110001,63.529999,812400,63.529999
2016-10-24,63.57,63.939999,63.169998,63.830002,1172000,63.830002
2016-10-21,61.869999,63.669998,61.740002,62.959999,2069400,62.959999
2016-10-20,63.689999,63.709999,61.91,62.029999,1529000,62.029999
2016-10-19,63.16,64.239998,63.16,63.869999,2028500,63.869999
2016-10-18,62.66,63.490002,62.07,63.189999,1655600,63.189999
2016-10-17,61.43,61.849998,60.689999,61.459999,1471100,61.459999
2016-10-14,62.400002,62.650002,61.110001,61.310001,1978900,61.310001
2016-10-13,62.66,62.66,61.75,62.240002,1737500,62.240002
2016-10-12,63.389999,63.450001,62.50,62.990002,1558400,62.990002
2016-10-11,64.50,64.599998,63.099998,63.43,2071800,63.43
2016-10-10,64.239998,64.800003,64.010002,64.599998,1198400,64.599998
2016-10-07,65.089996,65.089996,63.599998,64.00,1185100,64.00
2016-10-06,65.889999,65.889999,64.360001,64.839996,1675300,64.839996
2016-10-05,64.75,66.129997,64.540001,65.870003,2138400,65.870003
2016-10-04,63.740002,64.730003,63.41,64.419998,1019100,64.419998
2016-10-03,62.900002,63.450001,62.209999,63.349998,841900,63.349998
2016-09-30,62.98,63.48,62.959999,63.18,1682300,63.18
2016-09-29,63.790001,64.419998,62.82,63.00,2561200,63.00
2016-09-28,64.370003,65.029999,63.720001,64.080002,1525900,64.080002
2016-09-27,62.009998,64.68,61.919998,64.260002,2384500,64.260002
