Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,22.34,22.540001,22.110001,22.290001,1398600,22.290001
2016-10-25,23.209999,23.209999,22.09,22.43,2329400,22.43
2016-10-24,23.75,23.799999,23.24,23.309999,1208000,23.309999
2016-10-21,23.02,23.469999,22.93,23.440001,742600,23.440001
2016-10-20,23.49,23.549999,23.09,23.209999,1083800,23.209999
2016-10-19,23.209999,23.790001,23.16,23.66,999900,23.66
2016-10-18,23.33,23.34,22.93,23.129999,616600,23.129999
2016-10-17,23.00,23.129999,22.870001,22.90,1039700,22.90
2016-10-14,23.33,23.459999,22.83,23.030001,1093100,23.030001
2016-10-13,22.879999,23.110001,22.549999,23.01,1314600,23.01
2016-10-12,23.360001,23.469999,23.10,23.280001,1129400,23.280001
2016-10-11,24.09,24.129999,23.379999,23.48,1353200,23.369999
2016-10-10,24.610001,24.709999,24.139999,24.17,1230900,24.056767
2016-10-07,24.889999,24.940001,24.18,24.33,1056300,24.216017
2016-10-06,24.700001,24.879999,24.459999,24.76,1054600,24.644003
2016-10-05,24.379999,24.889999,24.07,24.780001,1703400,24.66391
2016-10-04,24.49,24.549999,23.92,23.969999,849600,23.857703
2016-10-03,24.200001,24.50,24.07,24.32,1014000,24.206064
2016-09-30,23.969999,24.34,23.75,24.18,1362300,24.06672
2016-09-29,24.41,24.58,23.879999,24.02,1223200,23.90747
2016-09-28,23.98,24.309999,23.68,24.299999,803100,24.186157
2016-09-27,23.690001,23.940001,23.530001,23.84,918900,23.728313
