Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,15.96,16.030001,15.82,15.84,227700,15.84
2016-10-25,16.17,16.190001,15.78,15.92,412800,15.92
2016-10-24,15.92,16.43,15.92,16.23,936700,16.23
2016-10-21,15.83,15.92,15.71,15.86,380300,15.86
2016-10-20,15.79,15.94,15.68,15.87,224000,15.87
2016-10-19,15.88,15.98,15.73,15.86,235000,15.86
2016-10-18,16.059999,16.10,15.87,15.90,574800,15.90
2016-10-17,15.87,16.07,15.83,15.95,435000,15.95
2016-10-14,15.86,16.09,15.81,15.85,288200,15.85
2016-10-13,15.79,15.84,15.58,15.82,607400,15.82
2016-10-12,15.95,16.059999,15.74,15.99,438500,15.99
2016-10-11,16.139999,16.23,15.73,15.90,598200,15.90
2016-10-10,16.40,16.48,16.15,16.17,326100,16.17
2016-10-07,16.200001,16.26,15.96,16.17,848800,16.17
2016-10-06,15.64,16.219999,15.62,16.129999,1426700,16.129999
2016-10-05,15.49,15.81,15.42,15.64,2027800,15.64
2016-10-04,15.23,15.70,15.23,15.55,1021900,15.55
2016-10-03,15.20,15.32,15.04,15.16,313100,15.16
2016-09-30,14.96,15.29,14.85,15.18,542600,15.18
2016-09-29,14.93,15.13,14.89,14.96,520700,14.96
2016-09-28,15.05,15.18,14.87,14.97,2037600,14.97
2016-09-27,15.11,15.39,14.98,15.34,417400,15.34
