Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,39.299999,39.490002,38.759998,38.900002,1529300,38.900002
2016-10-25,41.07,41.110001,40.459999,40.610001,1030300,40.610001
2016-10-24,41.029999,41.50,40.950001,41.009998,848100,41.009998
2016-10-21,40.41,40.580002,40.27,40.450001,751100,40.450001
2016-10-20,41.009998,41.009998,40.709999,40.830002,443000,40.830002
2016-10-19,41.040001,41.41,40.970001,41.32,854000,41.32
2016-10-18,41.290001,41.389999,40.889999,41.060001,890400,41.060001
2016-10-17,40.799999,41.099998,40.650002,40.759998,506000,40.759998
2016-10-14,41.450001,41.549999,41.25,41.27,598500,41.27
2016-10-13,40.599998,40.599998,40.099998,40.490002,811300,40.490002
2016-10-12,41.630001,41.740002,41.400002,41.450001,956600,41.450001
2016-10-11,41.860001,42.040001,41.599998,41.73,868200,41.73
2016-10-10,42.299999,42.490002,42.02,42.07,648000,42.07
2016-10-07,42.369999,42.529999,42.00,42.18,994700,42.18
2016-10-06,41.380001,41.709999,41.139999,41.50,591700,41.50
2016-10-05,41.68,42.380001,41.669998,42.09,1536200,42.09
2016-10-04,41.310001,41.490002,40.740002,40.84,717200,40.84
2016-10-03,40.66,41.040001,40.459999,40.990002,1192000,40.990002
2016-09-30,39.900002,40.450001,39.900002,39.98,1196700,39.98
2016-09-29,39.380001,39.849998,39.169998,39.32,1159400,39.32
2016-09-28,40.52,40.619999,40.18,40.59,768000,40.59
2016-09-27,40.07,40.23,39.82,39.98,977600,39.98
