Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.74,3.88,3.67,3.72,268500,3.72
2016-10-25,3.91,3.91,3.72,3.74,193100,3.74
2016-10-24,4.00,4.00,3.88,3.92,178700,3.92
2016-10-21,3.96,4.09,3.92,3.97,435100,3.97
2016-10-20,3.58,4.18,3.56,3.96,1317800,3.96
2016-10-19,3.49,3.70,3.40,3.57,444500,3.57
2016-10-18,3.50,3.54,3.37,3.50,294100,3.50
2016-10-17,3.39,3.475,3.31,3.42,230900,3.42
2016-10-14,3.56,3.60,3.38,3.39,301200,3.39
2016-10-13,3.50,3.59,3.46,3.51,295800,3.51
2016-10-12,3.64,3.68,3.46,3.52,366900,3.52
2016-10-11,3.73,3.77,3.561,3.64,346000,3.64
2016-10-10,3.68,3.79,3.68,3.76,153600,3.76
2016-10-07,3.77,3.84,3.61,3.67,269100,3.67
2016-10-06,3.74,3.83,3.71,3.78,173600,3.78
2016-10-05,3.80,3.88,3.75,3.77,256000,3.77
2016-10-04,3.77,3.90,3.75,3.79,250100,3.79
2016-10-03,3.80,3.86,3.72,3.81,241200,3.81
2016-09-30,3.78,3.89,3.71,3.83,223300,3.83
2016-09-29,3.86,3.90,3.71,3.78,300900,3.78
2016-09-28,3.97,3.975,3.75,3.88,266600,3.88
2016-09-27,3.83,3.98,3.83,3.96,292900,3.96
