Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,6.24,6.28,6.03,6.19,1656400,6.19
2016-10-25,6.32,6.33,6.09,6.21,1663200,6.21
2016-10-24,6.39,6.42,6.13,6.20,1664100,6.20
2016-10-21,6.44,6.44,6.19,6.22,1918000,6.22
2016-10-20,6.00,6.46,5.93,6.34,5205300,6.34
2016-10-19,6.38,6.38,5.99,5.99,1361700,5.99
2016-10-18,6.35,6.35,6.11,6.24,1274000,6.24
2016-10-17,6.21,6.28,6.00,6.16,1790400,6.16
2016-10-14,6.49,6.49,6.19,6.23,1131400,6.23
2016-10-13,6.33,6.50,6.28,6.35,1114700,6.35
2016-10-12,6.67,6.72,6.37,6.41,745100,6.41
2016-10-11,6.91,6.91,6.68,6.71,1087300,6.71
2016-10-10,6.69,6.93,6.53,6.90,1061900,6.90
2016-10-07,6.63,6.65,6.49,6.63,803400,6.63
2016-10-06,6.81,6.81,6.54,6.60,708400,6.60
2016-10-05,6.74,7.00,6.65,6.70,1382600,6.70
2016-10-04,6.93,7.03,6.78,6.85,1145400,6.85
2016-10-03,6.81,6.94,6.74,6.89,1843500,6.89
2016-09-30,6.65,7.00,6.52,6.81,3600600,6.81
2016-09-29,6.61,6.78,6.59,6.65,2696000,6.65
2016-09-28,6.60,6.86,6.49,6.77,1696000,6.77
2016-09-27,6.58,6.78,6.40,6.72,1927600,6.72
