Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,38.98,39.98,38.869999,39.849998,1825600,39.849998
2016-10-25,39.040001,39.400002,38.939999,39.130001,1297200,39.130001
2016-10-24,39.25,39.630001,39.02,39.029999,1387700,39.029999
2016-10-21,38.990002,39.150002,38.669998,38.91,1833600,38.91
2016-10-20,37.310001,39.91,37.189999,39.490002,2798000,39.490002
2016-10-19,38.25,38.549999,37.959999,38.09,2359900,38.09
2016-10-18,38.220001,38.369999,37.970001,38.09,1814000,38.09
2016-10-17,37.82,37.98,37.75,37.82,628900,37.82
2016-10-14,38.130001,38.25,37.669998,37.77,1303300,37.77
2016-10-13,37.720001,38.029999,37.549999,37.950001,974800,37.950001
2016-10-12,37.880001,38.169998,37.880001,37.970001,1078900,37.970001
2016-10-11,38.66,38.759998,37.720001,37.900002,1209900,37.900002
2016-10-10,38.700001,39.060001,38.630001,38.860001,832000,38.860001
2016-10-07,37.68,38.630001,37.189999,38.490002,3175800,38.490002
2016-10-06,39.759998,39.990002,39.619999,39.91,989300,39.91
2016-10-05,39.380001,39.639999,39.290001,39.599998,1338000,39.599998
2016-10-04,40.02,40.150002,39.16,39.209999,838700,39.209999
2016-10-03,39.450001,40.029999,39.450001,39.880001,790600,39.880001
2016-09-30,39.73,39.900002,39.560001,39.75,1282000,39.75
2016-09-29,40.18,40.25,39.43,39.50,839900,39.50
2016-09-28,39.669998,40.220001,39.57,40.18,845200,40.18
2016-09-27,39.130001,39.610001,38.990002,39.59,745300,39.59
