Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,29.49,29.940001,28.860001,29.719999,7815200,29.719999
2016-10-25,28.299999,29.120001,28.17,28.92,5360900,28.92
2016-10-24,28.15,28.549999,27.74,28.24,6934800,28.24
2016-10-21,29.40,29.50,28.610001,28.85,5948400,28.85
2016-10-20,28.77,29.27,28.459999,28.77,7072800,28.77
2016-10-19,28.75,29.23,28.200001,28.530001,5900300,28.530001
2016-10-18,28.49,29.120001,28.450001,28.92,5312500,28.92
2016-10-17,29.190001,29.49,28.99,29.40,5332300,29.40
2016-10-14,28.629999,29.299999,28.280001,29.280001,6632900,29.280001
2016-10-13,28.889999,29.52,28.620001,28.950001,9029600,28.950001
2016-10-12,28.15,28.52,27.799999,28.25,6765300,28.25
2016-10-11,26.91,28.629999,26.860001,28.18,9771200,28.18
2016-10-10,27.209999,27.209999,26.440001,26.780001,6688000,26.780001
2016-10-07,26.940001,28.110001,26.75,27.709999,7474800,27.709999
2016-10-06,27.09,27.709999,26.950001,27.07,5881900,27.07
2016-10-05,27.219999,27.219999,26.51,26.98,7915500,26.98
2016-10-04,26.93,27.84,26.77,27.50,8706500,27.50
2016-10-03,27.09,27.52,26.91,27.07,5420900,27.07
2016-09-30,27.370001,27.74,26.469999,26.870001,6954200,26.870001
2016-09-29,26.639999,27.85,26.639999,27.719999,8917600,27.719999
2016-09-28,27.10,27.66,26.559999,26.629999,6833400,26.629999
2016-09-27,27.620001,27.84,27.120001,27.200001,6194000,27.200001
