Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,1.44,1.45,1.42,1.42,33200,1.42
2016-10-25,1.47,1.47,1.41,1.43,71600,1.43
2016-10-24,1.44,1.47,1.39,1.46,128300,1.46
2016-10-21,1.40,1.46,1.37,1.45,241300,1.45
2016-10-20,1.43,1.47,1.40,1.41,255300,1.41
2016-10-19,1.43,1.47,1.43,1.43,63600,1.43
2016-10-18,1.48,1.52,1.43,1.43,157900,1.43
2016-10-17,1.46,1.55,1.45,1.47,132600,1.47
2016-10-14,1.53,1.55,1.45,1.47,230300,1.47
2016-10-13,1.58,1.59,1.52,1.52,148700,1.52
2016-10-12,1.59,1.61,1.53,1.59,116500,1.59
2016-10-11,1.58,1.61,1.52,1.59,136600,1.59
2016-10-10,1.61,1.62,1.57,1.60,113800,1.60
2016-10-07,1.65,1.65,1.59,1.60,172700,1.60
2016-10-06,1.68,1.68,1.61,1.64,41100,1.64
2016-10-05,1.64,1.68,1.58,1.67,93500,1.67
2016-10-04,1.61,1.65,1.56,1.65,127200,1.65
2016-10-03,1.67,1.67,1.58,1.60,91200,1.60
2016-09-30,1.68,1.68,1.63,1.67,219600,1.67
2016-09-29,1.73,1.74,1.66,1.67,183000,1.67
2016-09-28,1.70,1.78,1.68,1.72,576500,1.72
2016-09-27,1.66,1.70,1.63,1.70,301200,1.70
