Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,3.12,3.20,3.05,3.15,301600,3.15
2016-10-25,3.10,3.15,3.00,3.15,333000,3.15
2016-10-24,3.25,3.25,3.10,3.20,336200,3.20
2016-10-21,3.30,3.30,3.10,3.15,478000,3.15
2016-10-20,3.45,3.45,3.25,3.35,468600,3.35
2016-10-19,3.60,3.60,3.40,3.45,237200,3.45
2016-10-18,3.50,3.65,3.30,3.60,863300,3.60
2016-10-17,3.65,3.75,3.35,3.35,528300,3.35
2016-10-14,3.95,3.95,3.60,3.71,584100,3.71
2016-10-13,3.79,3.97,3.71,3.89,358000,3.89
2016-10-12,3.89,3.90,3.78,3.82,253600,3.82
2016-10-11,3.99,4.05,3.84,3.90,893500,3.90
2016-10-10,4.02,4.07,3.91,3.99,384700,3.99
2016-10-07,3.80,4.02,3.79,3.97,606500,3.97
2016-10-06,3.76,3.93,3.68,3.78,509200,3.78
2016-10-05,3.83,3.88,3.53,3.72,842000,3.72
2016-10-04,4.19,4.19,3.80,3.83,1459000,3.83
2016-10-03,4.81,5.13,3.96,4.10,9315800,4.10
2016-09-30,3.18,3.22,3.04,3.06,579200,3.06
2016-09-29,3.34,3.38,3.11,3.17,459000,3.17
2016-09-28,3.16,3.40,3.08,3.26,803200,3.26
2016-09-27,3.06,3.18,2.93,3.13,427200,3.13
