Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,95.099998,95.190002,92.540001,93.160004,784700,93.160004
2016-10-25,94.760002,95.010002,93.739998,94.239998,536300,94.239998
2016-10-24,95.669998,96.199997,94.480003,94.800003,579300,94.800003
2016-10-21,94.669998,95.360001,94.43,95.040001,534700,95.040001
2016-10-20,96.199997,96.440002,94.839996,95.43,949400,95.43
2016-10-19,95.919998,96.309998,95.209999,96.080002,635000,96.080002
2016-10-18,96.389999,96.849998,95.519997,96.110001,515900,96.110001
2016-10-17,95.449997,96.18,95.099998,95.370003,618900,95.370003
2016-10-14,95.860001,96.790001,95.190002,95.25,935700,95.25
2016-10-13,94.889999,96.150002,94.709999,95.650002,964900,95.650002
2016-10-12,95.459999,95.699997,94.43,95.360001,878600,95.360001
2016-10-11,96.230003,96.980003,94.959999,95.25,908700,95.25
2016-10-10,96.50,97.370003,96.139999,96.57,417500,96.57
2016-10-07,97.129997,98.099998,95.739998,96.309998,552700,96.309998
2016-10-06,95.82,97.150002,94.910004,96.50,1006700,96.50
2016-10-05,98.790001,98.980003,95.910004,96.129997,914200,96.129997
2016-10-04,99.449997,99.839996,97.970001,98.43,679100,98.43
2016-10-03,100.800003,100.809998,99.379997,99.459999,932600,99.459999
2016-09-30,102.199997,102.519997,101.160004,101.209999,733100,101.209999
2016-09-29,102.589996,103.160004,101.480003,101.529999,604500,101.529999
2016-09-28,102.839996,103.480003,102.230003,103.190002,529100,103.190002
2016-09-27,104.209999,104.639999,102.660004,102.739998,810700,102.739998
