Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,28.360001,28.76,28.209999,28.43,4847200,28.43
2016-10-25,28.35,28.65,28.309999,28.59,3303900,28.59
2016-10-24,28.200001,28.549999,28.120001,28.27,2986200,28.27
2016-10-21,28.26,28.450001,28.00,28.08,3789900,28.08
2016-10-20,28.959999,28.969999,28.01,28.290001,5520500,28.290001
2016-10-19,28.209999,28.77,28.209999,28.719999,2971600,28.719999
2016-10-18,28.469999,28.58,28.190001,28.209999,2151900,28.209999
2016-10-17,28.809999,28.91,28.280001,28.309999,3633400,28.309999
2016-10-14,28.77,28.790001,28.26,28.719999,4812100,28.719999
2016-10-13,28.799999,28.799999,28.459999,28.65,2701500,28.65
2016-10-12,28.50,29.10,28.459999,28.93,3225900,28.93
2016-10-11,28.790001,28.90,28.219999,28.559999,4082600,28.559999
2016-10-10,28.83,29.120001,28.68,28.77,3126700,28.77
2016-10-07,29.540001,29.67,28.60,28.860001,6674100,28.860001
2016-10-06,28.059999,29.84,27.99,29.33,19351100,29.33
2016-10-05,28.07,28.190001,27.91,27.959999,7863400,27.959999
2016-10-04,28.280001,28.549999,28.00,28.030001,3714800,28.030001
2016-10-03,28.370001,28.52,28.02,28.209999,3278700,28.209999
2016-09-30,28.07,28.530001,27.860001,28.35,5711400,28.35
2016-09-29,28.32,28.35,27.99,28.01,3234500,28.01
2016-09-28,28.49,28.559999,28.299999,28.42,2419200,28.285
2016-09-27,28.65,28.719999,28.41,28.459999,2654200,28.324809
