Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,5.94,6.02,5.27,5.74,82580700,5.74
2016-10-25,6.13,6.36,6.02,6.16,30291900,6.16
2016-10-24,6.31,6.38,5.97,6.15,14609600,6.15
2016-10-21,6.24,6.32,6.15,6.30,12555100,6.30
2016-10-20,6.13,6.32,6.08,6.31,16624000,6.31
2016-10-19,5.93,6.34,5.93,6.16,20355700,6.16
2016-10-18,5.98,6.05,5.87,5.91,11055700,5.91
2016-10-17,5.98,6.04,5.75,5.86,12008000,5.86
2016-10-14,6.18,6.21,5.88,5.96,13646100,5.96
2016-10-13,5.88,6.19,5.80,6.15,16061700,6.15
2016-10-12,6.05,6.07,5.90,5.97,15520800,5.97
2016-10-11,6.11,6.22,6.02,6.07,18403600,6.07
2016-10-10,6.02,6.24,6.02,6.16,15338100,6.16
2016-10-07,5.95,6.00,5.78,5.89,14578800,5.89
2016-10-06,5.73,6.10,5.73,5.95,25899200,5.95
2016-10-05,5.47,5.81,5.41,5.71,45799500,5.71
2016-10-04,5.56,5.61,5.32,5.34,18634700,5.34
2016-10-03,5.64,5.68,5.46,5.55,17533100,5.55
2016-09-30,5.75,5.80,5.61,5.62,23219600,5.62
2016-09-29,5.57,5.78,5.52,5.68,44274500,5.68
2016-09-28,5.27,5.54,5.12,5.47,49077500,5.47
2016-09-27,5.42,5.46,5.16,5.21,21840100,5.21
