Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.89,10.14,9.89,10.05,543500,10.05
2016-10-25,9.98,10.12,9.88,9.97,489600,9.97
2016-10-24,10.05,10.18,9.90,9.99,760300,9.99
2016-10-21,10.11,10.19,10.02,10.04,684100,10.04
2016-10-20,10.18,10.29,10.10,10.13,546400,10.13
2016-10-19,10.19,10.35,10.11,10.20,470800,10.20
2016-10-18,10.26,10.36,10.18,10.18,589900,10.18
2016-10-17,10.22,10.41,10.14,10.19,589500,10.19
2016-10-14,10.28,10.44,10.15,10.20,489900,10.20
2016-10-13,10.14,10.33,10.12,10.19,451300,10.19
2016-10-12,10.24,10.43,10.18,10.28,419300,10.28
2016-10-11,10.20,10.40,10.02,10.30,807800,10.30
2016-10-10,10.49,10.60,10.25,10.25,485700,10.25
2016-10-07,10.46,10.48,10.26,10.30,508400,10.30
2016-10-06,10.82,10.88,10.28,10.53,878600,10.53
2016-10-05,10.70,11.44,10.69,10.96,2435600,10.96
2016-10-04,10.55,10.68,10.33,10.61,634100,10.61
2016-10-03,10.35,10.58,10.27,10.57,591600,10.57
2016-09-30,10.35,10.51,10.24,10.32,576000,10.32
2016-09-29,10.48,10.55,10.25,10.25,477400,10.25
2016-09-28,10.50,10.60,10.25,10.43,487800,10.43
2016-09-27,10.35,10.52,10.26,10.44,464900,10.44
