Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,5.18,5.59,5.18,5.46,116200,5.46
2016-10-25,5.15,5.37,5.11,5.34,98900,5.34
2016-10-24,5.43,5.51,5.01,5.25,133100,5.25
2016-10-21,5.60,5.67,5.26,5.46,127000,5.46
2016-10-20,5.26,5.49,4.70,5.49,200600,5.49
2016-10-19,6.15,6.37,5.04,5.31,445700,5.31
2016-10-18,7.06,7.33,6.03,6.24,157200,6.24
2016-10-17,0.37,0.37,0.34,0.35,2009000,7.00
2016-10-14,0.42,0.42,0.35,0.39,1885800,7.80
2016-10-13,0.41,0.43,0.41,0.42,402300,8.40
2016-10-12,0.43,0.44,0.40,0.41,599500,8.20
2016-10-11,0.44,0.44,0.42,0.42,630400,8.40
2016-10-10,0.43,0.46,0.43,0.44,513200,8.80
2016-10-07,0.45,0.47,0.42,0.42,1170000,8.40
2016-10-06,0.48,0.48,0.45,0.45,432500,9.00
2016-10-05,0.46,0.48,0.46,0.47,863500,9.40
2016-10-04,0.46,0.46,0.44,0.45,439400,9.00
2016-10-03,0.45,0.48,0.44,0.46,515900,9.20
2016-09-30,0.46,0.47,0.44,0.46,1198600,9.20
2016-09-29,0.47,0.48,0.45,0.45,821400,9.00
2016-09-28,0.48,0.50,0.46,0.47,658700,9.40
2016-09-27,0.49,0.50,0.48,0.48,649100,9.60
