Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,9.59,9.66,9.57,9.65,4565500,9.65
2016-10-25,9.68,9.69,9.48,9.61,7503900,9.61
2016-10-24,9.59,9.70,9.56,9.68,4773300,9.68
2016-10-21,9.58,9.58,9.47,9.50,5325800,9.50
2016-10-20,9.71,9.73,9.59,9.62,4376400,9.62
2016-10-19,9.72,9.79,9.70,9.71,3886400,9.71
2016-10-18,9.67,9.75,9.65,9.71,4495300,9.71
2016-10-17,9.66,9.71,9.57,9.57,4955100,9.57
2016-10-14,9.60,9.71,9.58,9.65,5945000,9.65
2016-10-13,9.73,9.74,9.52,9.55,8542000,9.55
2016-10-12,9.76,9.83,9.67,9.80,5401700,9.80
2016-10-11,9.94,9.96,9.69,9.76,7592800,9.76
2016-10-10,9.94,10.01,9.93,9.96,4764900,9.96
2016-10-07,10.03,10.07,9.90,9.90,5154700,9.90
2016-10-06,9.96,10.04,9.94,10.01,5517600,10.01
2016-10-05,9.89,10.03,9.88,9.97,4342900,9.97
2016-10-04,10.12,10.12,9.81,9.84,6133300,9.84
2016-10-03,10.18,10.18,10.06,10.12,5598600,10.12
2016-09-30,10.18,10.20,10.02,10.13,7677400,10.13
2016-09-29,10.09,10.31,10.03,10.18,13273400,10.18
2016-09-28,9.99,10.09,9.97,10.08,7962200,10.08
2016-09-27,9.92,10.05,9.92,10.03,10406700,9.952
