Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,14.57,14.73,14.40,14.58,515500,14.58
2016-10-25,13.95,14.20,13.95,14.15,254100,14.15
2016-10-24,13.86,14.09,13.79,14.01,333100,14.01
2016-10-21,14.50,14.54,14.25,14.32,296100,14.32
2016-10-20,14.38,14.45,14.18,14.30,239400,14.30
2016-10-19,14.34,14.46,14.11,14.24,275600,14.24
2016-10-18,14.18,14.37,14.11,14.32,419000,14.32
2016-10-17,15.06,15.09,14.86,15.04,258800,15.04
2016-10-14,14.53,14.76,14.40,14.62,411100,14.62
2016-10-13,15.24,15.54,14.90,15.04,884300,15.04
2016-10-12,14.48,14.63,14.32,14.39,355300,14.39
2016-10-11,14.02,14.48,14.01,14.29,1282500,14.29
2016-10-10,13.45,13.52,13.03,13.18,686200,13.18
2016-10-07,13.61,14.00,13.50,13.76,375700,13.76
2016-10-06,13.64,13.70,13.37,13.44,335100,13.44
2016-10-05,13.93,13.95,13.54,13.57,600400,13.57
2016-10-04,14.15,14.72,14.08,14.66,553300,14.66
2016-10-03,14.52,14.65,14.27,14.31,409100,14.31
2016-09-30,14.58,14.62,14.15,14.34,494900,14.34
2016-09-29,14.01,14.60,13.88,14.43,722400,14.43
2016-09-28,14.21,14.62,13.98,14.01,422800,14.01
2016-09-27,14.50,14.68,14.33,14.36,471400,14.36
