Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,13.45,14.00,13.29,13.45,1009900,13.45
2016-10-25,13.20,13.42,13.12,13.33,838200,13.33
2016-10-24,12.55,13.25,12.49,13.20,783600,13.20
2016-10-21,12.29,12.53,12.27,12.44,243800,12.44
2016-10-20,12.33,12.61,12.29,12.42,237500,12.42
2016-10-19,12.48,12.56,12.16,12.38,241800,12.38
2016-10-18,12.31,12.61,12.21,12.37,253800,12.37
2016-10-17,11.78,12.21,11.69,12.09,256500,12.09
2016-10-14,12.25,12.35,11.79,11.84,233400,11.84
2016-10-13,12.19,12.36,11.62,12.16,403400,12.16
2016-10-12,12.43,12.65,12.33,12.40,240900,12.40
2016-10-11,12.55,12.66,12.31,12.42,203500,12.42
2016-10-10,12.51,12.71,12.51,12.64,171700,12.64
2016-10-07,12.64,12.64,12.33,12.42,268900,12.42
2016-10-06,12.77,12.82,12.60,12.63,200600,12.63
2016-10-05,12.56,12.90,12.54,12.77,331400,12.77
2016-10-04,12.51,12.89,12.40,12.51,395100,12.51
2016-10-03,12.32,12.62,12.22,12.47,246400,12.47
2016-09-30,12.15,12.43,12.10,12.32,223600,12.32
2016-09-29,12.30,12.46,12.06,12.07,219000,12.07
2016-09-28,12.10,12.30,11.82,12.30,331800,12.30
2016-09-27,12.14,12.32,12.08,12.11,172300,12.11
