Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,32.16,32.450001,31.90,32.139999,3777200,32.139999
2016-10-25,32.650002,32.669998,31.860001,32.080002,4557500,32.080002
2016-10-24,32.50,32.720001,32.419998,32.43,3502500,32.43
2016-10-21,32.049999,32.369999,31.809999,32.34,4889400,32.34
2016-10-20,31.940001,32.419998,31.879999,32.259998,3208100,32.259998
2016-10-19,31.25,32.279999,31.15,32.07,4257900,32.07
2016-10-18,31.00,31.17,30.629999,31.17,2308800,31.17
2016-10-17,30.92,31.049999,30.469999,30.65,2174600,30.65
2016-10-14,30.73,31.110001,30.700001,30.860001,2154000,30.860001
2016-10-13,30.780001,30.98,30.07,30.360001,3041600,30.360001
2016-10-12,31.32,31.530001,31.139999,31.209999,1451800,31.209999
2016-10-11,31.65,31.809999,30.98,31.299999,2491900,31.299999
2016-10-10,31.82,32.07,31.75,31.809999,1895700,31.809999
2016-10-07,31.709999,31.860001,31.209999,31.73,2546700,31.73
2016-10-06,31.75,31.82,31.290001,31.68,3183800,31.68
2016-10-05,31.540001,32.150002,31.50,31.82,3575800,31.82
2016-10-04,31.17,31.799999,31.139999,31.40,2939500,31.40
2016-10-03,30.799999,31.309999,30.77,31.110001,2381500,31.110001
2016-09-30,30.629999,31.18,30.43,31.02,2910100,31.02
2016-09-29,30.92,31.35,30.370001,30.52,3227700,30.52
2016-09-28,30.610001,30.85,30.23,30.85,2115700,30.85
2016-09-27,29.85,30.450001,29.639999,30.41,2343900,30.41
