Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,2.90,2.90,2.80,2.82,8214800,2.82
2016-10-25,2.94,2.96,2.91,2.91,4076400,2.91
2016-10-24,2.90,2.94,2.89,2.94,6183000,2.94
2016-10-21,2.89,2.92,2.86,2.88,3306700,2.88
2016-10-20,2.87,2.92,2.86,2.91,11602900,2.91
2016-10-19,2.82,2.89,2.82,2.88,8765400,2.88
2016-10-18,2.83,2.89,2.81,2.82,13739600,2.82
2016-10-17,2.78,2.85,2.78,2.78,11592000,2.78
2016-10-14,2.91,2.95,2.84,2.85,22926500,2.85
2016-10-13,2.91,2.94,2.85,2.90,13474900,2.90
2016-10-12,2.90,2.97,2.86,2.94,16382500,2.94
2016-10-11,2.92,2.96,2.84,2.89,23665800,2.89
2016-10-10,2.95,3.04,2.94,3.01,17302100,3.01
2016-10-07,2.93,2.95,2.87,2.94,12856100,2.94
2016-10-06,2.98,2.99,2.91,2.92,11588600,2.92
2016-10-05,2.90,3.02,2.88,2.97,19896200,2.97
2016-10-04,2.85,2.92,2.85,2.89,12449700,2.89
2016-10-03,2.91,2.92,2.84,2.86,12978800,2.86
2016-09-30,2.83,2.93,2.81,2.91,16957800,2.91
2016-09-29,2.84,2.87,2.80,2.81,13107100,2.81
2016-09-28,2.87,2.87,2.80,2.82,10752000,2.82
2016-09-27,2.81,2.88,2.81,2.88,12155400,2.88
